stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
38;38;0x0000000I64X;76;B;00:00:01:266;2159;25;;;;;38.431569;;17 272;925;0;2 880;0;;100;172;6 430;;1 189;58;1 193;3 032;0;
39;37;0x0000000I64X;74;B;00:00:01:233;1124;27;;;;;40.825702;;8 992;1 024;0;1 476;0;;14;35;3 568;;520;18;442;884;0;
40;39;0x0000000I64X;78;B;00:00:01:300;1030;25;;;;;36.582183;;8 240;1 041;0;1 402;0;;21;42;3 236;;495;9;339;700;0;
41;44;0x0000000I64X;88;P;00:00:01:466;15584;23;;;;;39.188524;;124 672;271;0;4 182;0;;659;1 296;15 783;;6 155;97;6 182;88 437;0;
42;42;0x0000000I64X;84;B;00:00:01:400;2340;26;;;;;37.796064;;18 720;961;0;2 766;0;;38;98;5 567;;1 597;99;1 511;4 906;0;
43;41;0x0000000I64X;82;B;00:00:01:366;1038;26;;;;;38.712214;;8 304;1 036;0;1 660;0;;6;16;3 469;;391;6;290;525;0;
44;43;0x0000000I64X;86;B;00:00:01:433;832;23;;;;;38.170277;;6 656;1 029;0;1 058;0;;27;26;2 740;;334;8;180;366;0;
45;48;0x0000000I64X;96;P;00:00:01:600;12896;23;;;;;34.671451;;103 168;216;0;4 033;0;;749;1 317;20 965;;6 337;100;5 995;61 770;0;
46;46;0x0000000I64X;92;B;00:00:01:533;7911;29;;;;;34.285441;;63 288;760;0;5 468;0;;2 083;4 432;8 597;;3 283;650;2 959;32 462;0;
47;45;0x0000000I64X;90;B;00:00:01:500;682;25;;;;;39.616274;;5 456;1 002;0;765;0;;0;11;2 001;;295;1;258;285;0;
48;47;0x0000000I64X;94;B;00:00:01:566;949;29;;;;;36.409131;;7 592;1 004;0;1 156;0;;4;9;3 406;;442;11;210;400;0;
49;52;0x0000000I64X;104;P;00:00:01:733;10089;23;;;;;36.027370;;80 712;284;0;3 935;0;;1 029;1 964;16 588;;5 781;115;5 328;43 669;0;
50;50;0x0000000I64X;100;B;00:00:01:666;2527;25;;;;;38.278750;;20 216;915;0;3 124;0;;61;156;7 314;;1 662;128;1 320;4 287;0;
51;49;0x0000000I64X;98;B;00:00:01:633;861;27;;;;;39.797966;;6 888;985;0;999;0;;0;0;3 042;;374;15;142;415;0;
52;51;0x0000000I64X;102;B;00:00:01:700;1038;28;;;;;36.877875;;8 304;1 007;0;1 261;0;;9;12;3 454;;507;29;263;869;0;
53;54;0x0000000I64X;108;P;00:00:01:800;7950;23;;;;;35.856048;;63 600;517;0;3 257;0;;474;1 001;14 482;;5 283;76;4 361;32 654;0;
54;53;0x0000000I64X;106;B;00:00:01:766;1214;28;;;;;40.373032;;9 712;991;0;1 455;0;;11;25;4 367;;565;28;303;1 020;0;
55;56;0x0000000I64X;112;P;00:00:01:866;9171;23;;;;;36.534962;;73 368;411;0;3 820;0;;672;1 766;14 535;;5 603;95;4 750;40 108;0;
56;55;0x0000000I64X;110;B;00:00:01:833;1170;27;;;;;40.225042;;9 360;1 016;0;1 333;0;;36;54;3 933;;608;28;360;1 010;0;
57;58;0x0000000I64X;116;P;00:00:01:933;8789;23;;;;;37.279634;;70 312;479;0;3 686;0;;797;1 563;13 301;;5 329;114;4 697;38 615;0;
58;57;0x0000000I64X;114;B;00:00:01:900;1121;27;;;;;40.482005;;8 968;1 044;0;1 559;0;;13;19;3 867;;536;16;280;673;0;
59;60;0x0000000I64X;120;P;00:00:02:000;8166;23;;;;;36.143295;;65 328;445;0;3 567;0;;734;1 381;14 040;;5 550;93;4 843;33 040;0;
60;59;0x0000000I64X;118;B;00:00:01:966;1183;28;;;;;40.684728;;9 464;1 043;0;1 402;0;;14;28;4 120;;596;27;281;955;0;
61;62;0x0000000I64X;124;P;00:00:02:066;7567;23;;;;;36.777522;;60 536;498;0;3 665;0;;555;1 180;14 307;;5 190;83;4 445;29 051;0;
62;61;0x0000000I64X;122;B;00:00:02:033;1075;28;;;;;40.860899;;8 600;1 074;0;1 221;0;;7;8;3 742;;506;19;276;819;0;
63;64;0x0000000I64X;128;P;00:00:02:133;7470;23;;;;;37.700766;;59 760;504;0;3 296;0;;564;1 262;14 176;;5 235;87;4 304;28 737;0;
64;63;0x0000000I64X;126;B;00:00:02:100;1089;26;;;;;41.018936;;8 712;1 013;0;1 303;0;;4;21;3 813;;527;15;330;762;0;
65;66;0x0000000I64X;132;P;00:00:02:200;8077;23;;;;;36.884458;;64 616;393;0;3 658;0;;667;1 445;14 247;;5 424;102;4 837;32 149;0;
66;65;0x0000000I64X;130;B;00:00:02:166;1200;28;;;;;40.780563;;9 600;1 037;0;1 500;0;;22;26;4 196;;567;25;395;853;0;
67;68;0x0000000I64X;136;P;00:00:02:266;8267;23;;;;;37.188975;;66 136;490;0;3 580;0;;731;1 254;14 846;;5 584;97;4 759;33 049;0;
68;67;0x0000000I64X;134;B;00:00:02:233;1285;27;;;;;40.733421;;10 280;1 020;0;1 607;0;;26;26;4 526;;568;25;411;1 049;0;
69;70;0x0000000I64X;140;P;00:00:02:333;8093;23;;;;;36.661744;;64 744;463;0;3 687;0;;783;1 417;14 733;;5 496;95;4 895;31 428;0;
70;69;0x0000000I64X;138;B;00:00:02:300;1385;28;;;;;40.794304;;11 080;1 046;0;1 685;0;;23;35;4 758;;760;32;457;1 261;0;
71;72;0x0000000I64X;144;P;00:00:02:400;8516;23;;;;;36.636215;;68 128;376;0;3 607;0;;696;1 451;14 701;;5 800;103;5 224;34 402;0;
72;71;0x0000000I64X;142;B;00:00:02:366;1295;27;;;;;40.774762;;10 360;1 042;0;1 572;0;;9;16;4 679;;616;20;359;1 050;0;
73;74;0x0000000I64X;148;P;00:00:02:466;8964;23;;;;;36.217652;;71 712;463;0;3 343;0;;687;1 134;14 353;;5 910;82;5 226;38 860;0;
74;73;0x0000000I64X;146;B;00:00:02:433;1269;27;;;;;40.503486;;10 152;1 025;0;1 491;0;;13;28;4 288;;657;33;367;1 266;0;
75;76;0x0000000I64X;152;P;00:00:02:533;16472;23;;;;;36.582213;;131 776;168;0;4 113;0;;635;1 411;16 765;;6 649;103;6 797;93 809;0;
76;75;0x0000000I64X;150;B;00:00:02:500;1568;27;;;;;39.143649;;12 544;1 013;0;2 246;0;;21;54;4 485;;854;39;864;1 916;0;
77;80;0x0000000I64X;160;P;00:00:02:666;18952;25;;;;;36.282094;;151 616;297;0;4 119;0;;605;1 302;16 339;;6 280;113;5 682;115 527;0;
78;78;0x0000000I64X;156;B;00:00:02:600;2066;26;;;;;37.566548;;16 528;1 001;0;2 970;0;;26;91;5 903;;1 346;81;1 164;2 792;0;
79;77;0x0000000I64X;154;B;00:00:02:566;1076;28;;;;;37.272146;;8 608;1 014;0;1 194;0;;5;12;3 741;;567;17;308;750;0;
80;79;0x0000000I64X;158;B;00:00:02:633;879;28;;;;;36.115046;;7 032;1 025;0;1 047;0;;15;20;2 624;;377;21;224;815;0;
81;84;0x0000000I64X;168;P;00:00:02:800;9104;23;;;;;36.961322;;72 832;293;0;3 924;0;;748;1 332;11 517;;6 169;112;5 937;40 755;0;
82;82;0x0000000I64X;164;B;00:00:02:733;1990;25;;;;;38.133200;;15 920;970;0;2 831;0;;71;270;4 869;;1 104;123;952;3 574;0;
83;81;0x0000000I64X;162;B;00:00:02:700;1397;24;;;;;39.700622;;11 176;973;0;2 101;0;;122;337;4 056;;527;34;660;1 256;0;
