name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:18:760;
epsnr [383];44.21;
frames;
  count;469;
    I;2 (0.42%);
    P;243 (51.81%);
    B;224 (47.76%);
  size (byte) / encode ratio (avg);8343 / 93;
    I;20 557 / 37;
    P;11 380 / 68;
    B;4 940 / 157;
bit allocation;
  max;1 919 000;
  avg;1 659 400;
  min;1 556 800;
qp [0-384];
  qp min;12;
  qp avg;19.61;
  qp max;39;
distribution (bits);
    total;66 043 (100.00%);
    mb_skip;274 (0.42%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;5 575 (8.44%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 980 (3.00%);
    pred_mode;3 317 (5.02%);
    inter_prediction;11 518 (17.44%);
transform;
    coded_block_pattern;5 481 (8.30%);
    transform_size_8x8_flag;695 (1.05%);
    mb_qp_delta;4 172 (6.32%);
    transform;30 727 (46.53%);
    pcm_data;0 (0.00%);
