name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:14:733;
epsnr [127];37.49;
frames;
  count;442;
    I;2 (0.45%);
    P;183 (41.40%);
    B;257 (58.14%);
  size (byte) / encode ratio (avg);5262 / 147;
    I;50 089 / 15;
    P;9 916 / 78;
    B;1 599 / 486;
bit allocation;
  max;1 697 520;
  avg;1 229 040;
  min;841 920;
qp [0-128];
  qp min;12;
  qp avg;28.08;
  qp max;39;
distribution (bits);
    total;40 188 (100.00%);
    mb_skip;714 (1.78%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 214 (5.51%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;435 (1.08%);
    pred_mode;1 260 (3.14%);
    inter_prediction;9 551 (23.77%);
transform;
    coded_block_pattern;3 141 (7.82%);
    transform_size_8x8_flag;87 (0.22%);
    mb_qp_delta;1 967 (4.90%);
    transform;19 480 (48.47%);
    pcm_data;0 (0.00%);
