name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:18:240;
epsnr [257];39.50;
frames;
  count;456;
    I;1 (0.21%);
    P;239 (52.41%);
    B;216 (47.36%);
  size (byte) / encode ratio (avg);8405 / 92;
    I;40 911 / 19;
    P;12 482 / 62;
    B;3 743 / 207;
bit allocation;
  max;1 985 800;
  avg;1 673 600;
  min;1 535 400;
qp [0-258];
  qp min;14;
  qp avg;24.10;
  qp max;44;
distribution (bits);
    total;68 729 (100.00%);
    mb_skip;400 (0.58%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 833 (7.03%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 858 (2.70%);
    pred_mode;3 352 (4.88%);
    inter_prediction;11 834 (17.22%);
transform;
    coded_block_pattern;5 287 (7.69%);
    transform_size_8x8_flag;508 (0.74%);
    mb_qp_delta;5 084 (7.40%);
    transform;33 720 (49.06%);
    pcm_data;0 (0.00%);
