stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;49653;22;;;;;39.789624;;397 224;0;0;2 143;0;;17 289;35 843;0;;0;1 100;6 273;322 568;0;
1;1;0x0000000I64X;2;P;00:00:00:033;404;20;;;;;45.896861;;3 232;534;0;231;0;;28;37;850;;282;4;303;601;0;
2;4;0x0000000I64X;8;P;00:00:00:133;13081;23;;;;;34.139121;;104 648;539;0;2 916;0;;290;454;12 405;;6 296;73;4 738;75 524;0;
3;2;0x0000000I64X;4;B;00:00:00:066;1432;27;;;;;39.774709;;11 456;478;0;1 919;0;;27;45;5 754;;813;51;338;1 170;0;
4;3;0x0000000I64X;6;B;00:00:00:100;660;30;;;;;36.767253;;5 280;956;0;828;0;;0;3;2 145;;222;9;81;270;0;
5;8;0x0000000I64X;16;P;00:00:00:266;13951;24;;;;;42.938200;;111 608;434;0;3 162;0;;240;564;12 785;;6 979;47;5 684;80 498;0;
6;6;0x0000000I64X;12;B;00:00:00:200;1608;27;;;;;37.349904;;12 864;489;0;2 223;0;;4;4;5 177;;1 247;27;616;2 297;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1071;27;;;;;38.506157;;8 568;438;0;1 502;0;;0;6;4 867;;545;7;215;284;0;
8;7;0x0000000I64X;14;B;00:00:00:233;560;22;;;;;36.884008;;4 480;1 025;0;759;0;;3;6;1 500;;202;2;51;70;0;
9;12;0x0000000I64X;24;P;00:00:00:400;10658;24;;;;;38.225214;;85 264;481;0;2 912;0;;123;382;12 917;;6 692;19;4 916;55 664;0;
10;10;0x0000000I64X;20;B;00:00:00:333;1672;26;;;;;37.878184;;13 376;509;0;2 628;0;;26;39;5 603;;1 179;40;724;1 822;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1100;27;;;;;39.026375;;8 800;672;0;1 977;0;;0;1;3 975;;568;6;220;360;0;
12;11;0x0000000I64X;22;B;00:00:00:366;649;25;;;;;36.590612;;5 192;1 017;0;984;0;;6;3;1 750;;257;3;98;141;0;
13;16;0x0000000I64X;32;P;00:00:00:533;8992;23;;;;;35.858784;;71 936;541;0;3 011;0;;238;654;12 647;;6 218;40;4 721;42 459;0;
14;14;0x0000000I64X;28;B;00:00:00:466;1370;26;;;;;37.983002;;10 960;666;0;2 630;0;;26;37;4 247;;713;22;423;1 177;0;
15;13;0x0000000I64X;26;B;00:00:00:433;1147;26;;;;;40.170375;;9 176;501;0;1 947;0;;0;7;4 804;;564;1;257;356;0;
16;15;0x0000000I64X;30;B;00:00:00:500;823;26;;;;;38.236594;;6 584;1 023;0;1 152;0;;4;7;2 570;;308;10;120;427;0;
17;18;0x0000000I64X;36;P;00:00:00:600;7493;23;;;;;36.048509;;59 944;692;0;2 775;0;;374;586;11 026;;4 991;62;3 918;33 923;0;
18;17;0x0000000I64X;34;B;00:00:00:566;1373;28;;;;;40.768309;;10 984;516;0;2 675;0;;12;22;5 078;;736;17;331;836;0;
19;22;0x0000000I64X;44;P;00:00:00:733;12038;24;;;;;36.660876;;96 304;443;0;3 811;0;;596;1 154;17 083;;6 088;97;5 217;60 368;0;
20;20;0x0000000I64X;40;B;00:00:00:666;2745;26;;;;;37.796760;;21 960;486;0;4 136;0;;32;79;9 420;;1 763;110;1 215;3 894;0;
21;19;0x0000000I64X;38;B;00:00:00:633;1687;27;;;;;39.239150;;13 496;510;0;3 037;0;;12;19;6 304;;962;26;523;1 197;0;
22;21;0x0000000I64X;42;B;00:00:00:700;1009;27;;;;;36.967034;;8 072;1 042;0;1 425;0;;7;17;3 422;;452;13;237;523;0;
23;26;0x0000000I64X;52;P;00:00:00:866;15101;24;;;;;35.948847;;120 808;355;0;4 010;0;;752;1 531;18 506;;6 017;105;5 382;82 738;0;
24;24;0x0000000I64X;48;B;00:00:00:800;2891;25;;;;;38.926104;;23 128;460;0;4 702;0;;67;100;10 741;;1 765;91;1 126;3 206;0;
25;23;0x0000000I64X;46;B;00:00:00:766;1732;27;;;;;38.860351;;13 856;510;0;3 415;0;;0;11;7 121;;802;20;425;701;0;
26;25;0x0000000I64X;50;B;00:00:00:833;1176;28;;;;;37.078208;;9 408;1 015;0;1 457;0;;22;25;3 772;;675;50;258;1 125;0;
27;30;0x0000000I64X;60;P;00:00:01:000;16300;24;;;;;36.382272;;130 400;129;0;5 317;0;;1 739;3 620;17 629;;5 615;214;6 312;87 827;0;
28;28;0x0000000I64X;56;B;00:00:00:933;4148;25;;;;;38.474202;;33 184;130;0;5 590;0;;196;383;14 046;;3 613;189;2 418;6 053;0;
29;27;0x0000000I64X;54;B;00:00:00:900;2004;28;;;;;39.058957;;16 032;525;0;3 199;0;;19;28;8 116;;1 114;30;636;1 532;0;
30;29;0x0000000I64X;58;B;00:00:00:966;1732;27;;;;;36.524665;;13 856;962;0;2 249;0;;116;204;5 826;;838;64;543;1 852;0;
31;32;0x0000000I64X;64;P;00:00:01:066;11413;23;;;;;36.734491;;91 304;326;0;4 255;0;;1 029;1 848;17 250;;6 479;116;5 730;52 399;0;
32;31;0x0000000I64X;62;B;00:00:01:033;2069;27;;;;;40.590753;;16 552;491;0;3 902;0;;11;58;8 277;;1 030;34;646;1 244;0;
33;34;0x0000000I64X;68;P;00:00:01:133;7769;23;;;;;37.232954;;62 152;541;0;3 140;0;;565;985;13 308;;5 671;77;4 510;31 690;0;
34;33;0x0000000I64X;66;B;00:00:01:100;935;26;;;;;41.404123;;7 480;1 013;0;1 206;0;;22;32;3 030;;417;14;229;668;0;
