stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
38;39;0x0000000I64X;78;P;00:00:01:300;10744;25;;;;;35.848796;;85 952;357;0;3 878;0;;2 044;4 995;18 684;;5 589;274;5 254;42 244;0;
39;38;0x0000000I64X;76;B;00:00:01:266;2748;29;;;;;38.748955;;21 984;1 011;0;2 748;0;;111;214;8 731;;1 622;94;821;5 484;0;
40;43;0x0000000I64X;86;P;00:00:01:433;12343;28;;;;;34.060507;;98 744;300;0;3 671;0;;1 240;3 372;19 828;;5 536;134;5 461;56 963;0;
41;41;0x0000000I64X;82;B;00:00:01:366;6113;28;;;;;35.735251;;48 904;857;0;3 667;0;;472;819;9 602;;4 217;611;2 495;24 746;0;
42;40;0x0000000I64X;80;B;00:00:01:333;2604;29;;;;;35.748920;;20 832;1 028;0;2 781;0;;61;94;8 143;;1 628;139;905;4 979;0;
43;42;0x0000000I64X;84;B;00:00:01:400;3415;31;;;;;36.058001;;27 320;964;0;1 948;0;;35;63;5 653;;2 925;424;1 495;12 739;0;
44;47;0x0000000I64X;94;P;00:00:01:566;14008;26;;;;;35.511640;;112 064;95;0;3 393;0;;6 171;15 417;5 936;;1 285;550;5 903;66 533;0;
45;45;0x0000000I64X;90;B;00:00:01:500;7492;28;;;;;35.934285;;59 936;677;0;6 325;0;;1 106;2 309;15 816;;4 669;503;3 380;22 893;0;
46;44;0x0000000I64X;88;B;00:00:01:466;2695;31;;;;;37.660167;;21 560;978;0;2 980;0;;132;283;8 088;;1 901;143;989;4 960;0;
47;46;0x0000000I64X;92;B;00:00:01:533;2863;29;;;;;34.493713;;22 904;928;0;2 887;0;;125;273;9 578;;1 862;113;1 124;4 875;0;
48;48;0x0000000I64X;96;P;00:00:01:600;7418;26;;;;;38.667753;;59 344;439;0;3 721;0;;779;2 641;16 375;;4 928;67;4 070;24 066;0;
49;51;0x0000000I64X;102;P;00:00:01:700;13816;26;;;;;36.664280;;110 528;126;0;3 255;0;;7 728;15 790;2 740;;534;800;5 769;66 869;0;
50;49;0x0000000I64X;98;B;00:00:01:633;5937;26;;;;;37.661985;;47 496;748;0;4 946;0;;614;1 490;13 089;;3 944;252;2 865;17 524;0;
51;50;0x0000000I64X;100;B;00:00:01:666;4313;28;;;;;37.767282;;34 504;848;0;3 846;0;;231;549;12 205;;2 909;176;1 587;10 856;0;
52;55;0x0000000I64X;110;P;00:00:01:833;12740;26;;;;;31.363132;;101 920;66;0;3 579;0;;7 290;15 802;799;;162;753;5 622;61 227;0;
53;53;0x0000000I64X;106;B;00:00:01:766;7419;30;;;;;31.875698;;59 352;535;0;6 348;0;;1 519;3 186;11 129;;3 922;316;4 459;25 146;0;
54;52;0x0000000I64X;104;B;00:00:01:733;2072;32;;;;;38.584630;;16 576;951;0;2 025;0;;176;327;6 124;;1 400;82;965;3 428;0;
55;54;0x0000000I64X;108;B;00:00:01:800;2448;32;;;;;30.732863;;19 584;986;0;2 534;0;;224;500;6 678;;1 389;85;1 299;4 654;0;
56;56;0x0000000I64X;112;P;00:00:01:866;9518;28;;;;;36.475880;;76 144;115;0;3 969;0;;4 764;11 274;4 221;;1 013;350;5 280;39 466;0;
57;58;0x0000000I64X;116;P;00:00:01:933;10092;28;;;;;34.933012;;80 736;60;0;4 159;0;;5 694;12 803;1 451;;301;509;5 459;44 391;0;
58;57;0x0000000I64X;114;B;00:00:01:900;5359;29;;;;;36.079426;;42 872;759;0;5 257;0;;907;2 200;12 116;;2 986;120;2 902;13 451;0;
59;60;0x0000000I64X;120;P;00:00:02:000;9764;27;;;;;33.778367;;78 112;158;0;4 505;0;;3 997;9 193;9 135;;2 576;349;5 235;38 347;0;
60;59;0x0000000I64X;118;B;00:00:01:966;5491;29;;;;;37.310998;;43 928;816;0;4 258;0;;944;1 923;9 338;;3 497;323;2 657;18 403;0;
61;62;0x0000000I64X;124;P;00:00:02:066;10395;27;;;;;34.677531;;83 160;173;0;4 120;0;;4 295;9 563;9 752;;2 007;229;5 111;42 650;0;
62;61;0x0000000I64X;122;B;00:00:02:033;6454;29;;;;;38.326096;;51 632;619;0;6 758;0;;2 086;4 479;9 495;;2 268;174;3 350;18 667;0;
63;63;0x0000000I64X;126;P;00:00:02:100;7215;26;;;;;39.640366;;57 720;297;0;3 914;0;;1 824;3 774;13 895;;4 179;137;4 434;22 247;0;
64;64;0x0000000I64X;128;P;00:00:02:133;7960;26;;;;;38.988848;;63 680;237;0;4 254;0;;2 008;4 357;14 991;;4 534;170;4 883;25 302;0;
65;67;0x0000000I64X;134;P;00:00:02:233;7800;27;;;;;29.841443;;62 400;125;0;4 440;0;;1 315;3 194;14 223;;4 893;74;5 944;26 253;0;
66;65;0x0000000I64X;130;B;00:00:02:166;6344;34;;;;;38.552106;;50 752;640;0;5 262;0;;1 774;3 282;10 087;;3 826;389;3 212;19 602;0;
67;66;0x0000000I64X;132;B;00:00:02:200;1405;35;;;;;30.572358;;11 240;1 013;0;1 119;0;;81;143;4 584;;868;48;516;1 959;0;
68;68;0x0000000I64X;136;P;00:00:02:266;8932;26;;;;;39.132633;;71 456;69;0;4 398;0;;2 062;4 946;14 329;;4 278;107;5 822;32 678;0;
69;69;0x0000000I64X;138;P;00:00:02:300;10571;27;;;;;37.908572;;84 568;92;0;3 976;0;;5 141;12 355;2 646;;534;208;5 486;48 034;0;
70;71;0x0000000I64X;142;P;00:00:02:366;9617;25;;;;;31.758808;;76 936;189;0;4 274;0;;1 936;4 978;13 357;;4 760;128;5 425;38 930;0;
71;70;0x0000000I64X;140;B;00:00:02:333;6592;32;;;;;39.911269;;52 736;676;0;4 993;0;;1 357;3 008;8 549;;3 637;252;3 105;24 670;0;
72;72;0x0000000I64X;144;P;00:00:02:400;8964;25;;;;;39.721554;;71 712;155;0;4 250;0;;1 267;3 020;15 556;;5 395;95;5 441;34 464;0;
73;75;0x0000000I64X;150;P;00:00:02:500;12060;25;;;;;32.609904;;96 480;175;0;4 148;0;;2 077;5 361;15 932;;5 094;217;5 660;54 925;0;
74;73;0x0000000I64X;146;B;00:00:02:433;7704;29;;;;;38.812214;;61 632;662;0;4 560;0;;1 469;2 992;9 096;;4 486;634;3 235;32 523;0;
75;74;0x0000000I64X;148;B;00:00:02:466;3959;32;;;;;34.434065;;31 672;933;0;2 103;0;;363;627;5 322;;3 280;398;1 719;15 704;0;
76;76;0x0000000I64X;152;P;00:00:02:533;6975;25;;;;;40.097305;;55 800;422;0;3 257;0;;874;1 976;16 157;;4 932;100;4 176;21 890;0;
77;77;0x0000000I64X;154;P;00:00:02:566;6398;25;;;;;39.921281;;51 184;501;0;2 821;0;;708;1 405;14 698;;4 941;59;4 029;20 210;0;
78;81;0x0000000I64X;162;P;00:00:02:700;9182;26;;;;;35.377611;;73 456;62;0;4 260;0;;917;2 417;18 101;;5 838;66;6 736;33 725;0;
79;79;0x0000000I64X;158;B;00:00:02:633;8071;28;;;;;35.230921;;64 568;518;0;4 914;0;;572;1 169;14 686;;5 701;553;4 540;30 291;0;
80;78;0x0000000I64X;156;B;00:00:02:600;5358;30;;;;;39.163536;;42 864;890;0;3 185;0;;974;1 388;6 759;;3 639;509;2 620;21 292;0;
81;80;0x0000000I64X;160;B;00:00:02:666;2820;29;;;;;32.986450;;22 560;941;0;2 585;0;;162;263;8 079;;2 014;115;1 666;5 443;0;
82;82;0x0000000I64X;164;P;00:00:02:733;9415;29;;;;;35.539294;;75 320;359;0;3 273;0;;2 740;6 926;10 728;;3 086;187;4 674;39 571;0;
