stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
38;37;0x0000000I64X;74;B;00:00:01:233;1260;25;;;;;39.475465;;10 080;1 059;0;1 399;0;;45;70;3 657;;721;17;771;1 388;0;
39;40;0x0000000I64X;80;P;00:00:01:333;6341;24;;;;;35.995430;;50 728;555;0;3 743;0;;725;1 634;11 160;;3 785;85;4 115;23 184;0;
40;39;0x0000000I64X;78;B;00:00:01:300;1265;26;;;;;39.579546;;10 120;1 033;0;1 571;0;;26;46;3 442;;776;26;815;1 385;0;
41;42;0x0000000I64X;84;P;00:00:01:400;6693;24;;;;;36.361872;;53 544;589;0;3 711;0;;784;1 467;11 050;;3 927;89;3 904;26 184;0;
42;41;0x0000000I64X;82;B;00:00:01:366;1382;25;;;;;38.655903;;11 056;1 040;0;1 577;0;;35;62;3 639;;852;29;942;1 807;0;
43;44;0x0000000I64X;88;P;00:00:01:466;5927;23;;;;;36.034617;;47 416;687;0;3 418;0;;465;1 019;10 710;;3 844;79;3 802;21 780;0;
44;43;0x0000000I64X;86;B;00:00:01:433;1151;26;;;;;40.017811;;9 208;1 021;0;1 309;0;;32;70;2 787;;764;26;809;1 455;0;
45;48;0x0000000I64X;96;P;00:00:01:600;7321;24;;;;;43.490926;;58 568;184;0;4 811;0;;795;1 861;9 719;;4 181;94;5 903;29 512;0;
46;46;0x0000000I64X;92;B;00:00:01:533;3546;25;;;;;36.707587;;28 368;892;0;2 593;0;;76;163;4 332;;2 220;221;2 332;14 371;0;
47;45;0x0000000I64X;90;B;00:00:01:500;1121;24;;;;;38.913119;;8 968;1 022;0;1 289;0;;25;58;2 275;;691;17;1 016;1 620;0;
48;47;0x0000000I64X;94;B;00:00:01:566;975;22;;;;;38.434895;;7 800;1 032;0;1 280;0;;26;50;2 017;;698;9;557;1 067;0;
49;50;0x0000000I64X;100;P;00:00:01:666;6174;23;;;;;40.468746;;49 392;578;0;3 499;0;;1 231;2 326;12 603;;3 323;142;3 848;19 721;0;
50;49;0x0000000I64X;98;B;00:00:01:633;1238;23;;;;;40.425013;;9 904;1 038;0;1 770;0;;26;59;3 560;;682;21;631;1 183;0;
51;52;0x0000000I64X;104;P;00:00:01:733;5758;24;;;;;41.738891;;46 064;311;0;4 403;0;;862;2 007;11 180;;3 125;114;4 404;17 915;0;
52;51;0x0000000I64X;102;B;00:00:01:700;1475;24;;;;;38.422929;;11 800;897;0;1 961;0;;32;73;2 950;;782;16;1 487;2 537;0;
53;54;0x0000000I64X;108;P;00:00:01:800;7106;26;;;;;35.295588;;56 848;411;0;4 323;0;;1 645;3 523;11 539;;3 021;153;4 149;25 431;0;
54;53;0x0000000I64X;106;B;00:00:01:766;1213;26;;;;;34.874967;;9 704;1 007;0;1 518;0;;20;41;3 300;;677;17;722;1 413;0;
55;58;0x0000000I64X;116;P;00:00:01:933;8765;27;;;;;34.774980;;70 120;193;0;5 149;0;;3 330;7 713;2 706;;632;273;4 478;41 857;0;
56;56;0x0000000I64X;112;B;00:00:01:866;2119;27;;;;;34.034978;;16 952;982;0;1 898;0;;168;295;5 392;;922;54;946;5 247;0;
57;55;0x0000000I64X;110;B;00:00:01:833;965;26;;;;;36.121677;;7 720;977;0;1 106;0;;27;45;2 350;;536;27;625;1 258;0;
58;57;0x0000000I64X;114;B;00:00:01:900;922;27;;;;;35.971761;;7 376;981;0;1 048;0;;29;29;2 322;;530;26;481;1 102;0;
59;60;0x0000000I64X;120;P;00:00:02:000;7192;24;;;;;32.657969;;57 536;246;0;5 244;0;;1 429;3 538;9 561;;3 104;138;4 669;27 724;0;
60;59;0x0000000I64X;118;B;00:00:01:966;981;27;;;;;39.477029;;7 848;999;0;934;0;;8;16;2 809;;554;9;589;1 112;0;
61;62;0x0000000I64X;124;P;00:00:02:066;6068;22;;;;;33.878632;;48 544;611;0;3 625;0;;538;1 242;10 880;;3 888;46;3 830;22 210;0;
62;61;0x0000000I64X;122;B;00:00:02:033;1025;26;;;;;42.096162;;8 200;1 026;0;1 287;0;;31;60;2 832;;620;12;523;868;0;
63;66;0x0000000I64X;132;P;00:00:02:200;8646;26;;;;;39.022958;;69 168;177;0;5 584;0;;2 338;6 094;5 950;;1 396;194;4 589;40 102;0;
64;64;0x0000000I64X;128;B;00:00:02:133;1592;27;;;;;35.968540;;12 736;1 025;0;1 633;0;;71;160;4 781;;865;62;793;2 340;0;
65;63;0x0000000I64X;126;B;00:00:02:100;781;24;;;;;38.062953;;6 248;976;0;1 005;0;;27;36;2 384;;348;15;250;370;0;
66;65;0x0000000I64X;130;B;00:00:02:166;925;25;;;;;41.098766;;7 400;925;0;1 017;0;;12;38;2 190;;533;11;727;1 186;0;
67;70;0x0000000I64X;140;P;00:00:02:333;7844;27;;;;;39.890522;;62 752;489;0;4 419;0;;2 374;5 533;5 151;;1 287;245;3 624;36 639;0;
68;68;0x0000000I64X;136;B;00:00:02:266;1040;29;;;;;33.609692;;8 320;868;0;1 172;0;;47;85;3 047;;490;43;343;1 523;0;
69;67;0x0000000I64X;134;B;00:00:02:233;668;25;;;;;36.119474;;5 344;960;0;709;0;;12;25;2 095;;317;6;207;257;0;
70;69;0x0000000I64X;138;B;00:00:02:300;576;24;;;;;38.343655;;4 608;934;0;530;0;;3;12;1 770;;282;8;154;261;0;
71;74;0x0000000I64X;148;P;00:00:02:466;6391;23;;;;;34.280141;;51 128;412;0;4 153;0;;1 302;3 038;11 454;;3 126;143;3 581;21 798;0;
72;72;0x0000000I64X;144;B;00:00:02:400;1152;29;;;;;33.181030;;9 216;1 025;0;1 050;0;;19;24;3 278;;683;52;314;1 814;0;
73;71;0x0000000I64X;142;B;00:00:02:366;562;26;;;;;41.182632;;4 496;965;0;529;0;;8;6;1 495;;266;7;161;351;0;
74;73;0x0000000I64X;146;B;00:00:02:433;731;29;;;;;36.894823;;5 848;998;0;890;0;;19;24;2 324;;298;13;171;264;0;
75;76;0x0000000I64X;152;P;00:00:02:533;6145;24;;;;;41.981534;;49 160;570;0;3 921;0;;1 597;3 328;10 807;;2 390;150;3 089;20 941;0;
76;75;0x0000000I64X;150;B;00:00:02:500;1608;22;;;;;41.139209;;12 864;1 006;0;2 109;0;;51;99;4 793;;972;30;979;1 762;0;
77;78;0x0000000I64X;156;P;00:00:02:600;4671;24;;;;;41.388898;;37 368;583;0;3 672;0;;1 195;2 276;10 352;;2 433;90;2 829;11 775;0;
78;77;0x0000000I64X;154;B;00:00:02:566;1624;22;;;;;41.577326;;12 992;1 040;0;1 964;0;;99;167;4 836;;907;33;847;2 078;0;
79;79;0x0000000I64X;158;P;00:00:02:633;4418;24;;;;;41.576768;;35 344;632;0;3 287;0;;495;1 114;9 891;;2 973;45;2 979;12 251;0;
80;80;0x0000000I64X;160;P;00:00:02:666;4679;24;;;;;41.274157;;37 432;539;0;3 829;0;;935;1 975;10 926;;2 549;102;2 902;11 701;0;
81;81;0x0000000I64X;162;P;00:00:02:700;4750;24;;;;;40.855131;;38 000;578;0;3 486;0;;621;1 464;10 501;;2 941;68;3 127;13 398;0;
82;82;0x0000000I64X;164;P;00:00:02:733;4336;24;;;;;40.502725;;34 688;698;0;3 087;0;;404;869;10 635;;3 015;51;2 864;11 511;0;
83;83;0x0000000I64X;166;P;00:00:02:766;5520;24;;;;;40.534829;;44 160;602;0;3 387;0;;578;1 128;12 324;;3 499;58;3 387;17 505;0;
84;84;0x0000000I64X;168;P;00:00:02:800;6144;23;;;;;41.681424;;49 152;501;0;3 572;0;;556;1 221;12 279;;4 143;53;4 003;21 130;0;
85;86;0x0000000I64X;172;P;00:00:02:866;6817;23;;;;;40.933045;;54 536;235;0;4 815;0;;1 261;2 800;12 282;;3 757;117;4 894;22 194;0;
86;85;0x0000000I64X;170;B;00:00:02:833;2125;23;;;;;42.115230;;17 000;805;0;2 772;0;;82;169;5 505;;1 346;23;1 695;3 397;0;
87;88;0x0000000I64X;176;P;00:00:02:933;8708;23;;;;;41.224996;;69 664;136;0;5 239;0;;1 159;2 578;12 576;;4 360;122;5 785;35 910;0;
88;87;0x0000000I64X;174;B;00:00:02:900;2113;23;;;;;41.356094;;16 904;896;0;2 780;0;;75;194;5 042;;1 401;49;1 673;3 579;0;
89;90;0x0000000I64X;180;P;00:00:03:000;9496;23;;;;;40.743079;;75 968;294;0;4 338;0;;1 341;2 607;14 193;;4 730;157;5 101;41 184;0;
90;89;0x0000000I64X;178;B;00:00:02:966;1970;23;;;;;40.629798;;15 760;976;0;2 959;0;;104;253;5 966;;1 133;38;1 120;2 037;0;
91;92;0x0000000I64X;184;P;00:00:03:066;8782;24;;;;;40.365985;;70 256;282;0;3 740;0;;857;1 587;11 366;;4 593;108;5 524;40 631;0;
92;91;0x0000000I64X;182;B;00:00:03:033;1943;24;;;;;39.411254;;15 544;943;0;2 540;0;;72;144;5 513;;1 183;34;1 452;2 454;0;
93;96;0x0000000I64X;192;P;00:00:03:200;8210;23;;;;;41.453849;;65 680;222;0;4 343;0;;1 036;1 952;10 260;;4 860;114;6 092;34 947;0;
94;94;0x0000000I64X;188;B;00:00:03:133;3876;25;;;;;35.872672;;31 008;929;0;2 921;0;;80;282;5 507;;2 133;276;2 113;15 584;0;
95;93;0x0000000I64X;186;B;00:00:03:100;1103;24;;;;;38.644166;;8 824;1 064;0;1 316;0;;15;57;3 316;;615;9;603;852;0;
96;95;0x0000000I64X;190;B;00:00:03:166;689;22;;;;;38.791959;;5 512;1 035;0;1 009;0;;0;6;2 081;;235;5;91;207;0;
97;100;0x0000000I64X;200;P;00:00:03:333;14033;23;;;;;39.642608;;112 264;89;0;5 176;0;;5 059;10 728;8 604;;2 002;577;5 893;70 001;0;
98;98;0x0000000I64X;196;B;00:00:03:266;4455;24;;;;;38.707496;;35 640;824;0;3 920;0;;154;284;10 356;;2 826;210;3 119;12 609;0;
99;97;0x0000000I64X;194;B;00:00:03:233;1482;25;;;;;39.706492;;11 856;1 016;0;1 842;0;;30;48;4 960;;794;49;612;1 473;0;
100;99;0x0000000I64X;198;B;00:00:03:300;2089;24;;;;;38.830626;;16 712;971;0;2 897;0;;54;138;5 179;;1 422;52;1 613;3 236;0;
101;102;0x0000000I64X;204;P;00:00:03:400;9361;27;;;;;35.134653;;74 888;249;0;5 094;0;;3 297;8 282;5 652;;1 245;277;5 108;41 576;0;
102;101;0x0000000I64X;202;B;00:00:03:366;1041;27;;;;;36.572664;;8 328;965;0;1 096;0;;38;59;3 320;;452;20;405;1 177;0;
103;104;0x0000000I64X;208;P;00:00:03:466;8939;27;;;;;34.572654;;71 512;90;0;5 464;0;;3 429;8 847;3 414;;852;276;5 467;39 696;0;
104;103;0x0000000I64X;206;B;00:00:03:433;1853;27;;;;;36.492671;;14 824;1 007;0;1 989;0;;122;230;4 680;;1 099;51;976;3 653;0;
105;108;0x0000000I64X;216;P;00:00:03:600;9428;26;;;;;31.968932;;75 424;86;0;5 588;0;;3 421;9 274;1 531;;334;262;4 756;46 499;0;
106;106;0x0000000I64X;212;B;00:00:03:533;2203;27;;;;;35.917346;;17 624;955;0;2 296;0;;167;412;6 064;;949;41;1 193;4 422;0;
107;105;0x0000000I64X;210;B;00:00:03:500;1476;28;;;;;38.602355;;11 808;943;0;1 627;0;;66;198;4 017;;787;31;783;2 459;0;
108;107;0x0000000I64X;214;B;00:00:03:566;1199;32;;;;;34.764024;;9 592;1 007;0;1 009;0;;47;81;3 655;;730;45;411;1 758;0;
109;109;0x0000000I64X;218;P;00:00:03:633;4744;24;;;;;41.668541;;37 952;550;0;3 511;0;;415;1 232;10 794;;3 328;37;3 252;13 152;0;
110;110;0x0000000I64X;220;P;00:00:03:666;6051;23;;;;;41.816850;;48 408;250;0;4 574;0;;712;1 839;11 735;;3 956;45;3 804;19 966;0;
111;111;0x0000000I64X;222;P;00:00:03:700;6725;23;;;;;41.996209;;53 800;436;0;4 270;0;;918;1 849;12 048;;3 908;86;3 989;24 343;0;
112;113;0x0000000I64X;226;P;00:00:03:766;6704;22;;;;;40.573322;;53 632;467;0;3 959;0;;559;1 336;10 639;;3 941;59;4 192;26 796;0;
113;112;0x0000000I64X;224;B;00:00:03:733;1269;23;;;;;42.143936;;10 152;1 030;0;1 714;0;;91;156;3 575;;657;36;635;1 251;0;
114;117;0x0000000I64X;234;P;00:00:03:900;5980;23;;;;;39.814884;;47 840;605;0;3 661;0;;581;1 355;8 783;;3 296;51;4 131;23 672;0;
115;115;0x0000000I64X;230;B;00:00:03:833;3185;25;;;;;37.661201;;25 480;1 014;0;1 823;0;;64;144;4 053;;2 114;223;1 392;13 618;0;
116;114;0x0000000I64X;228;B;00:00:03:800;988;23;;;;;40.023466;;7 904;1 027;0;1 120;0;;13;21;2 191;;688;9;618;1 296;0;
117;116;0x0000000I64X;232;B;00:00:03:866;917;24;;;;;40.954578;;7 336;1 031;0;1 076;0;;19;38;2 365;;632;11;474;781;0;
118;119;0x0000000I64X;238;P;00:00:03:966;4578;23;;;;;41.269895;;36 624;610;0;3 313;0;;545;1 194;12 792;;2 698;78;3 101;10 589;0;
119;118;0x0000000I64X;236;B;00:00:03:933;1385;22;;;;;41.617433;;11 080;1 023;0;1 918;0;;36;72;4 000;;859;18;735;1 354;0;
120;121;0x0000000I64X;242;P;00:00:04:033;5937;23;;;;;39.722007;;47 496;563;0;3 805;0;;1 232;2 486;12 573;;2 763;152;3 326;18 395;0;
121;120;0x0000000I64X;240;B;00:00:04:000;1934;24;;;;;41.142326;;15 472;970;0;2 412;0;;45;125;4 927;;1 373;59;1 334;3 019;0;
122;123;0x0000000I64X;246;P;00:00:04:100;5921;24;;;;;40.243408;;47 368;616;0;3 682;0;;1 291;2 585;11 097;;2 911;139;3 431;19 339;0;
123;122;0x0000000I64X;244;B;00:00:04:066;1809;23;;;;;40.601717;;14 472;1 002;0;2 198;0;;30;98;5 008;;1 145;35;1 098;2 712;0;
124;125;0x0000000I64X;250;P;00:00:04:166;5189;24;;;;;39.277357;;41 512;468;0;3 917;0;;1 060;2 107;10 779;;2 696;107;3 493;14 753;0;
125;124;0x0000000I64X;248;B;00:00:04:133;1616;24;;;;;41.161866;;12 928;1 028;0;1 896;0;;39;112;4 301;;979;23;1 179;2 328;0;
126;127;0x0000000I64X;254;P;00:00:04:233;5818;24;;;;;38.650126;;46 544;428;0;3 975;0;;1 372;2 352;12 093;;3 253;114;3 876;16 727;0;
127;126;0x0000000I64X;252;B;00:00:04:200;1864;24;;;;;41.141718;;14 912;1 015;0;2 263;0;;54;129;5 385;;1 067;35;1 145;2 693;0;
128;129;0x0000000I64X;258;P;00:00:04:300;5902;24;;;;;37.618955;;47 216;433;0;4 123;0;;1 103;2 231;12 174;;3 447;109;4 068;17 393;0;
129;128;0x0000000I64X;256;B;00:00:04:266;1641;25;;;;;40.968470;;13 128;1 014;0;2 057;0;;67;157;4 200;;1 037;33;1 136;2 345;0;
130;131;0x0000000I64X;262;P;00:00:04:366;7203;24;;;;;39.291293;;57 624;296;0;4 615;0;;1 380;2 856;11 700;;3 565;157;4 852;25 935;0;
131;130;0x0000000I64X;260;B;00:00:04:333;1887;24;;;;;39.808515;;15 096;983;0;2 421;0;;26;104;5 832;;1 048;35;1 204;2 295;0;
132;133;0x0000000I64X;266;P;00:00:04:433;8303;23;;;;;39.652535;;66 424;117;0;4 700;0;;1 201;2 454;12 221;;4 279;131;5 897;33 789;0;
133;132;0x0000000I64X;264;B;00:00:04:400;1596;24;;;;;40.861662;;12 768;957;0;1 801;0;;36;67;4 335;;933;15;1 385;2 147;0;
134;135;0x0000000I64X;270;P;00:00:04:500;8113;23;;;;;41.013326;;64 904;197;0;4 508;0;;1 175;2 358;12 907;;4 656;123;5 518;31 544;0;
135;134;0x0000000I64X;268;B;00:00:04:466;3250;23;;;;;40.750646;;26 000;790;0;4 630;0;;402;810;8 759;;1 645;77;2 260;4 944;0;
136;137;0x0000000I64X;274;P;00:00:04:566;12219;23;;;;;38.721847;;97 752;243;0;4 509;0;;1 898;3 529;13 808;;4 896;249;5 680;60 891;0;
137;136;0x0000000I64X;272;B;00:00:04:533;2017;24;;;;;38.795786;;16 136;985;0;2 175;0;;55;87;5 979;;1 327;96;1 163;3 138;0;
138;141;0x0000000I64X;282;P;00:00:04:700;7933;23;;;;;37.689415;;63 464;172;0;5 171;0;;1 313;3 081;16 540;;4 273;137;5 454;25 334;0;
139;139;0x0000000I64X;278;B;00:00:04:633;3321;23;;;;;39.460924;;26 568;914;0;3 194;0;;189;330;6 906;;2 314;243;2 207;8 891;0;
140;138;0x0000000I64X;276;B;00:00:04:600;1672;26;;;;;40.450750;;13 376;978;0;1 365;0;;4;26;3 745;;1 184;123;611;4 415;0;
