stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;48365;23;;;;;40.135678;;386 920;0;0;1 297;0;;17 024;46 894;0;;0;1 474;4 117;304 274;0;
1;1;0x0000000I64X;2;P;00:00:00:033;223;23;;;;;44.086676;;1 784;378;0;63;0;;0;0;398;;197;0;155;335;0;
2;4;0x0000000I64X;8;P;00:00:00:133;5747;23;;;;;41.106028;;45 976;624;0;2 335;0;;12;36;11 897;;6 342;3;3 077;20 453;0;
3;2;0x0000000I64X;4;B;00:00:00:066;1224;26;;;;;42.248488;;9 792;488;0;1 719;0;;2;1;5 067;;780;34;202;649;0;
4;3;0x0000000I64X;6;B;00:00:00:100;822;25;;;;;39.852556;;6 576;1 007;0;1 055;0;;0;0;2 960;;283;7;52;150;0;
5;8;0x0000000I64X;16;P;00:00:00:266;7943;24;;;;;40.481764;;63 544;457;0;2 656;0;;64;151;15 841;;7 841;10;4 238;31 099;0;
6;6;0x0000000I64X;12;B;00:00:00:200;2225;27;;;;;38.669342;;17 800;524;0;2 648;0;;0;0;7 332;;2 145;97;838;3 263;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1360;26;;;;;41.333952;;10 880;504;0;2 266;0;;0;2;5 694;;779;8;211;477;0;
8;7;0x0000000I64X;14;B;00:00:00:233;863;25;;;;;39.728540;;6 904;1 047;0;1 081;0;;0;0;2 751;;479;7;127;385;0;
9;12;0x0000000I64X;24;P;00:00:00:400;6503;24;;;;;36.701287;;52 024;573;0;2 492;0;;32;96;16 048;;6 382;3;3 561;21 584;0;
10;10;0x0000000I64X;20;B;00:00:00:333;2190;27;;;;;38.705077;;17 520;527;0;2 306;0;;0;0;7 569;;2 183;117;773;3 117;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1456;27;;;;;40.981667;;11 648;342;0;1 903;0;;0;0;6 385;;1 102;28;332;873;0;
12;11;0x0000000I64X;22;B;00:00:00:366;866;30;;;;;38.180165;;6 928;1 050;0;1 162;0;;0;0;2 891;;355;15;80;349;0;
13;16;0x0000000I64X;32;P;00:00:00:533;10105;25;;;;;36.917060;;80 840;463;0;3 121;0;;834;2 488;19 212;;6 245;111;4 281;42 264;0;
14;14;0x0000000I64X;28;B;00:00:00:466;3529;27;;;;;37.986451;;28 232;331;0;3 491;0;;8;20;11 649;;3 375;259;1 161;7 214;0;
15;13;0x0000000I64X;26;B;00:00:00:433;1551;27;;;;;39.742760;;12 408;719;0;2 486;0;;0;1;5 777;;932;25;368;1 041;0;
16;15;0x0000000I64X;30;B;00:00:00:500;1268;28;;;;;38.151334;;10 144;1 026;0;1 648;0;;0;0;4 213;;761;49;251;1 151;0;
17;20;0x0000000I64X;40;P;00:00:00:666;14365;25;;;;;36.794954;;114 920;130;0;4 723;0;;2 225;7 849;19 459;;5 615;240;5 588;65 718;0;
18;18;0x0000000I64X;36;B;00:00:00:600;5227;27;;;;;38.029250;;41 816;168;0;5 243;0;;223;432;16 443;;5 041;426;2 361;10 797;0;
19;17;0x0000000I64X;34;B;00:00:00:566;2315;29;;;;;39.013215;;18 520;420;0;3 506;0;;4;11;9 802;;1 379;81;543;1 994;0;
20;19;0x0000000I64X;38;B;00:00:00:633;1619;28;;;;;36.477214;;12 952;1 012;0;1 639;0;;17;33;5 477;;1 087;77;527;2 162;0;
