name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:11:360;
epsnr;43.01;
frames;
  count;284;
    I;1 (0.35%);
    P;211 (74.29%);
    B;72 (25.35%);
  size (byte) / encode ratio (avg);8385 / 92;
    I;7 401 / 105;
    P;9 691 / 80;
    B;4 572 / 170;
bit allocation;
  max;1 859 800;
  avg;1 683 800;
  min;1 510 400;
qp;
  qp min;13;
  qp avg;20.71;
  qp max;37;
distribution (bits);
    total;67 083 (100.00%);
    mb_skip;217 (0.32%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 912 (7.32%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;2 975 (4.44%);
    pred_mode;5 386 (8.03%);
    inter_prediction;9 910 (14.77%);
transform;
    coded_block_pattern;4 755 (7.09%);
    transform_size_8x8_flag;574 (0.86%);
    mb_qp_delta;3 266 (4.87%);
    transform;31 804 (47.41%);
    pcm_data;0 (0.00%);
