name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:15:066;
epsnr [128];38.29;
frames;
  count;452;
    I;2 (0.44%);
    P;213 (47.12%);
    B;237 (52.43%);
  size (byte) / encode ratio (avg);5172 / 150;
    I;21 635 / 35;
    P;8 761 / 88;
    B;1 807 / 430;
bit allocation;
  max;1 389 448;
  avg;1 174 616;
  min;905 960;
qp [0-129];
  qp min;9;
  qp avg;26.15;
  qp max;42;
distribution (bits);
    total;38 699 (100.00%);
    mb_skip;666 (1.72%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 882 (7.45%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;792 (2.05%);
    pred_mode;1 772 (4.58%);
    inter_prediction;8 163 (21.09%);
transform;
    coded_block_pattern;2 513 (6.50%);
    transform_size_8x8_flag;109 (0.28%);
    mb_qp_delta;2 457 (6.35%);
    transform;17 666 (45.65%);
    pcm_data;0 (0.00%);
