stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;23988;22;;;;;41.318102;;191 904;0;0;2 733;0;;11 635;18 210;0;;0;1 061;5 490;139 873;0;
1;4;0x0000000I64X;8;P;00:00:00:133;3058;22;;;;;45.837040;;24 464;875;0;1 912;0;;64;204;7 343;;3 123;9;2 193;7 506;0;
2;2;0x0000000I64X;4;B;00:00:00:066;1552;23;;;;;41.371203;;12 416;727;0;2 464;0;;51;73;5 647;;950;23;529;898;0;
3;1;0x0000000I64X;2;B;00:00:00:033;1117;23;;;;;43.554385;;8 936;610;0;1 542;0;;42;47;4 775;;483;21;177;261;0;
4;3;0x0000000I64X;6;B;00:00:00:100;821;21;;;;;41.162143;;6 568;1 031;0;1 015;0;;13;17;2 863;;337;10;63;202;0;
5;8;0x0000000I64X;16;P;00:00:00:266;3345;23;;;;;39.410264;;26 760;921;0;1 868;0;;153;376;8 897;;2 812;15;2 076;8 336;0;
6;6;0x0000000I64X;12;B;00:00:00:200;1624;24;;;;;41.429498;;12 992;646;0;1 805;0;;0;3;6 033;;1 527;55;374;1 641;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1224;24;;;;;42.432890;;9 792;632;0;1 464;0;;0;1;4 890;;936;2;253;580;0;
8;7;0x0000000I64X;14;B;00:00:00:233;1020;24;;;;;41.201011;;8 160;961;0;1 386;0;;14;12;2 862;;802;13;242;694;0;
9;12;0x0000000I64X;24;P;00:00:00:400;4523;24;;;;;39.522982;;36 184;791;0;2 265;0;;509;880;11 368;;2 671;58;2 403;13 770;0;
10;10;0x0000000I64X;20;B;00:00:00:333;1717;24;;;;;41.158824;;13 736;683;0;1 967;0;;39;56;7 212;;1 001;46;360;1 308;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1383;25;;;;;39.818527;;11 064;751;0;1 955;0;;7;18;4 766;;1 058;21;355;1 002;0;
12;11;0x0000000I64X;22;B;00:00:00:366;1112;25;;;;;39.083711;;8 896;987;0;1 507;0;;8;27;3 560;;754;14;237;701;0;
13;16;0x0000000I64X;32;P;00:00:00:533;8734;24;;;;;39.330068;;69 872;564;0;3 319;0;;2 707;4 763;11 791;;2 817;334;3 774;36 988;0;
14;14;0x0000000I64X;28;B;00:00:00:466;2250;25;;;;;38.923952;;18 000;678;0;3 002;0;;90;120;8 951;;1 331;79;713;1 975;0;
