name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:15:066;
epsnr [127];41.66;
frames;
  count;452;
    I;2 (0.44%);
    P;215 (47.56%);
    B;235 (51.99%);
  size (byte) / encode ratio (avg);3541 / 219;
    I;22 151 / 35;
    P;5 348 / 145;
    B;1 730 / 449;
bit allocation;
  max;933 568;
  avg;809 448;
  min;654 008;
qp [0-128];
  qp min;8;
  qp avg;23.09;
  qp max;36;
distribution (bits);
    total;27 634 (100.00%);
    mb_skip;762 (2.76%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 897 (10.49%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;569 (2.06%);
    pred_mode;1 040 (3.76%);
    inter_prediction;8 007 (28.98%);
transform;
    coded_block_pattern;1 877 (6.79%);
    transform_size_8x8_flag;76 (0.28%);
    mb_qp_delta;2 014 (7.29%);
    transform;8 717 (31.55%);
    pcm_data;0 (0.00%);
