name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:11:880;
epsnr;41.20;
frames;
  count;297;
    I;1 (0.33%);
    P;156 (52.52%);
    B;140 (47.13%);
  size (byte) / encode ratio (avg);8353 / 93;
    I;20 120 / 38;
    P;11 122 / 69;
    B;5 183 / 150;
bit allocation;
  max;1 829 200;
  avg;1 671 800;
  min;1 589 800;
qp;
  qp min;16;
  qp avg;22.51;
  qp max;39;
distribution (bits);
    total;66 824 (100.00%);
    mb_skip;256 (0.38%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 535 (6.79%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;2 530 (3.79%);
    pred_mode;4 668 (6.99%);
    inter_prediction;9 990 (14.95%);
transform;
    coded_block_pattern;5 585 (8.36%);
    transform_size_8x8_flag;835 (1.25%);
    mb_qp_delta;3 724 (5.57%);
    transform;32 365 (48.43%);
    pcm_data;0 (0.00%);
