name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:11:733;
epsnr [255];39.03;
frames;
  count;352;
    I;2 (0.56%);
    P;132 (37.50%);
    B;218 (61.93%);
  size (byte) / encode ratio (avg);4427 / 175;
    I;38 117 / 20;
    P;8 598 / 90;
    B;1 592 / 488;
bit allocation;
  max;1 341 120;
  avg;1 061 280;
  min;814 800;
qp [0-256];
  qp min;4;
  qp avg;25.56;
  qp max;37;
distribution (bits);
    total;37 307 (100.00%);
    mb_skip;746 (2.00%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 497 (6.69%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;571 (1.53%);
    pred_mode;1 225 (3.29%);
    inter_prediction;9 137 (24.49%);
transform;
    coded_block_pattern;2 594 (6.95%);
    transform_size_8x8_flag;108 (0.29%);
    mb_qp_delta;2 152 (5.77%);
    transform;16 781 (44.98%);
    pcm_data;0 (0.00%);
