stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
37;36;0x0000000I64X;72;B;00:00:01:200;2756;24;;;;;41.884752;;22 048;986;0;3 965;0;;443;730;7 796;;1 230;79;1 700;3 544;0;
38;39;0x0000000I64X;78;P;00:00:01:300;5824;22;;;;;41.446817;;46 592;288;0;4 954;0;;1 388;3 026;12 025;;2 743;81;4 187;15 515;0;
39;38;0x0000000I64X;76;B;00:00:01:266;2213;23;;;;;42.958244;;17 704;982;0;2 989;0;;222;439;6 474;;1 266;45;1 354;2 634;0;
40;42;0x0000000I64X;84;P;00:00:01:400;7563;22;;;;;41.259873;;60 504;312;0;4 852;0;;2 315;4 098;10 235;;2 756;258;4 797;27 783;0;
41;40;0x0000000I64X;80;B;00:00:01:333;3380;22;;;;;41.836734;;27 040;874;0;4 908;0;;583;1 144;8 018;;1 730;129;2 339;5 507;0;
42;41;0x0000000I64X;82;B;00:00:01:366;2470;22;;;;;41.306276;;19 760;946;0;3 485;0;;207;367;7 097;;1 471;79;1 632;3 055;0;
43;46;0x0000000I64X;92;P;00:00:01:533;5307;22;;;;;42.967237;;42 456;129;0;5 145;0;;1 368;2 823;9 319;;2 561;113;4 804;14 236;0;
44;44;0x0000000I64X;88;B;00:00:01:466;4556;23;;;;;39.014795;;36 448;878;0;4 344;0;;608;983;7 844;;2 403;372;2 838;14 487;0;
45;43;0x0000000I64X;86;B;00:00:01:433;2345;22;;;;;42.748840;;18 760;931;0;3 499;0;;137;256;7 236;;1 427;35;1 454;2 429;0;
46;45;0x0000000I64X;90;B;00:00:01:500;2416;22;;;;;42.325695;;19 328;865;0;3 908;0;;186;344;7 105;;1 535;65;1 398;2 539;0;
47;50;0x0000000I64X;100;P;00:00:01:666;5941;23;;;;;42.290770;;47 528;411;0;4 185;0;;2 094;4 052;11 307;;2 485;187;3 944;15 835;0;
48;48;0x0000000I64X;96;B;00:00:01:600;4128;22;;;;;42.322109;;33 024;673;0;5 667;0;;696;1 216;11 133;;2 163;154;2 945;6 328;0;
49;47;0x0000000I64X;94;B;00:00:01:566;1874;22;;;;;41.641145;;14 992;953;0;2 336;0;;43;108;4 777;;1 270;38;1 547;2 758;0;
50;49;0x0000000I64X;98;B;00:00:01:633;2308;22;;;;;41.855834;;18 464;917;0;2 924;0;;175;263;7 325;;1 505;38;1 501;2 431;0;
51;52;0x0000000I64X;104;P;00:00:01:733;7384;23;;;;;42.075231;;59 072;232;0;5 125;0;;3 010;6 081;9 704;;2 241;245;4 648;24 187;0;
52;51;0x0000000I64X;102;B;00:00:01:700;2509;22;;;;;41.375347;;20 072;945;0;3 491;0;;264;499;6 103;;1 588;78;1 954;3 663;0;
53;54;0x0000000I64X;108;P;00:00:01:800;6367;23;;;;;42.404909;;50 936;413;0;4 265;0;;2 135;3 855;11 351;;2 635;179;3 912;19 095;0;
54;53;0x0000000I64X;106;B;00:00:01:766;2099;22;;;;;41.621424;;16 792;955;0;2 851;0;;97;251;5 819;;1 186;44;1 528;2 842;0;
55;56;0x0000000I64X;112;P;00:00:01:866;5830;23;;;;;41.626827;;46 640;437;0;4 243;0;;1 867;3 589;10 231;;2 650;185;3 867;16 821;0;
56;55;0x0000000I64X;110;B;00:00:01:833;2088;22;;;;;41.640223;;16 704;969;0;2 588;0;;114;211;5 896;;1 299;34;1 504;2 852;0;
57;58;0x0000000I64X;116;P;00:00:01:933;6926;24;;;;;41.322868;;55 408;237;0;5 099;0;;2 486;4 975;11 011;;2 999;190;4 327;20 956;0;
58;57;0x0000000I64X;114;B;00:00:01:900;2342;23;;;;;40.866358;;18 736;965;0;3 274;0;;244;418;6 226;;1 395;39;1 752;2 979;0;
59;59;0x0000000I64X;118;P;00:00:01:966;5143;23;;;;;41.651129;;41 144;394;0;4 479;0;;1 421;2 717;10 576;;3 128;95;3 696;12 044;0;
60;60;0x0000000I64X;120;P;00:00:02:000;5612;24;;;;;41.181968;;44 896;311;0;4 845;0;;1 800;3 521;10 201;;2 776;122;3 825;14 862;0;
61;61;0x0000000I64X;122;P;00:00:02:033;6202;24;;;;;41.149163;;49 616;237;0;4 903;0;;1 467;3 092;11 365;;3 684;108;4 301;18 020;0;
62;62;0x0000000I64X;124;P;00:00:02:066;5907;24;;;;;41.226731;;47 256;240;0;4 876;0;;1 797;3 547;10 246;;3 394;117;4 368;16 017;0;
63;63;0x0000000I64X;126;P;00:00:02:100;5737;24;;;;;41.307014;;45 896;332;0;4 539;0;;1 573;3 211;10 369;;3 220;128;3 849;16 174;0;
64;64;0x0000000I64X;128;P;00:00:02:133;6106;24;;;;;41.055096;;48 848;347;0;4 540;0;;1 446;2 961;11 377;;3 656;136;4 082;17 977;0;
65;66;0x0000000I64X;132;P;00:00:02:200;8691;24;;;;;39.332845;;69 528;143;0;5 368;0;;2 235;4 813;12 642;;3 574;187;4 966;32 592;0;
66;65;0x0000000I64X;130;B;00:00:02:166;2769;24;;;;;39.862750;;22 152;956;0;3 814;0;;310;559;7 969;;1 459;92;1 655;3 803;0;
67;68;0x0000000I64X;136;P;00:00:02:266;8482;25;;;;;39.490854;;67 856;156;0;5 046;0;;2 365;4 692;12 564;;3 992;213;5 085;30 766;0;
68;67;0x0000000I64X;134;B;00:00:02:233;2106;24;;;;;39.803953;;16 848;1 000;0;2 843;0;;171;328;6 356;;1 117;53;1 144;2 679;0;
69;70;0x0000000I64X;140;P;00:00:02:333;9638;25;;;;;37.969936;;77 104;121;0;4 929;0;;2 733;5 408;12 987;;4 083;271;4 973;38 601;0;
70;69;0x0000000I64X;138;B;00:00:02:300;1853;26;;;;;39.411400;;14 824;871;0;2 339;0;;117;214;5 764;;1 077;68;908;2 477;0;
71;71;0x0000000I64X;142;P;00:00:02:366;7408;25;;;;;40.031028;;59 264;296;0;4 230;0;;1 218;2 608;12 597;;4 573;101;4 373;27 139;0;
72;72;0x0000000I64X;144;P;00:00:02:400;7158;24;;;;;40.057052;;57 264;452;0;3 855;0;;1 334;2 793;12 535;;4 482;130;4 200;25 135;0;
