stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
37;38;0x0000000I64X;76;P;00:00:01:266;6482;25;;;;;36.729357;;51 856;510;0;3 478;0;;554;1 037;15 847;;4 079;87;3 992;20 628;0;
38;37;0x0000000I64X;74;B;00:00:01:233;1635;27;;;;;38.670967;;13 080;975;0;2 185;0;;24;37;6 761;;679;43;372;871;0;
39;40;0x0000000I64X;80;P;00:00:01:333;9544;25;;;;;35.861029;;76 352;492;0;3 828;0;;1 621;3 063;16 496;;3 513;165;3 944;41 385;0;
40;39;0x0000000I64X;78;B;00:00:01:300;1936;28;;;;;37.512159;;15 488;954;0;2 536;0;;28;49;7 520;;810;74;531;1 850;0;
41;41;0x0000000I64X;82;P;00:00:01:366;8510;26;;;;;37.150937;;68 080;670;0;3 315;0;;686;1 425;14 233;;3 297;97;3 283;39 446;0;
42;42;0x0000000I64X;84;P;00:00:01:400;9424;26;;;;;36.789296;;75 392;600;0;3 719;0;;1 061;2 210;14 689;;3 335;145;3 348;44 546;0;
43;43;0x0000000I64X;86;P;00:00:01:433;9790;26;;;;;36.693126;;78 320;581;0;3 624;0;;616;1 406;15 424;;3 902;87;3 666;47 456;0;
44;44;0x0000000I64X;88;P;00:00:01:466;10782;26;;;;;36.438373;;86 256;532;0;3 789;0;;1 121;1 967;16 080;;3 932;154;3 894;53 012;0;
45;45;0x0000000I64X;90;P;00:00:01:500;10128;27;;;;;36.252445;;81 024;646;0;3 253;0;;618;1 174;16 655;;3 779;90;3 267;50 000;0;
46;46;0x0000000I64X;92;P;00:00:01:533;11081;25;;;;;36.710411;;88 648;533;0;3 909;0;;1 013;1 996;17 448;;3 722;149;3 607;54 616;0;
47;47;0x0000000I64X;94;P;00:00:01:566;12733;26;;;;;36.031133;;101 864;549;0;3 529;0;;658;1 112;18 138;;4 387;110;4 018;67 829;0;
48;48;0x0000000I64X;96;P;00:00:01:600;13059;26;;;;;36.337057;;104 472;541;0;3 569;0;;950;1 693;18 564;;4 265;156;3 818;69 316;0;
49;49;0x0000000I64X;98;P;00:00:01:633;13526;26;;;;;36.214832;;108 208;522;0;3 464;0;;595;1 097;17 823;;4 611;91;3 886;74 703;0;
50;50;0x0000000I64X;100;P;00:00:01:666;12513;26;;;;;36.172460;;100 104;594;0;3 409;0;;836;1 413;17 554;;4 181;125;3 653;66 747;0;
51;51;0x0000000I64X;102;P;00:00:01:700;14069;26;;;;;36.362250;;112 552;549;0;3 367;0;;498;1 068;17 794;;4 783;83;4 143;78 954;0;
52;52;0x0000000I64X;104;P;00:00:01:733;12717;26;;;;;36.358648;;101 736;595;0;3 136;0;;781;1 269;15 962;;4 553;107;3 620;70 303;0;
53;54;0x0000000I64X;108;P;00:00:01:800;14808;26;;;;;33.793642;;118 464;526;0;3 393;0;;997;1 769;18 628;;4 797;105;4 005;82 741;0;
54;53;0x0000000I64X;106;B;00:00:01:766;1753;31;;;;;36.324207;;14 024;975;0;2 546;0;;40;43;6 556;;692;75;224;1 741;0;
