name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:09:733;
epsnr;41.26;
frames;
  count;292;
    I;2 (0.68%);
    P;90 (30.82%);
    B;200 (68.49%);
  size (byte) / encode ratio (avg);3243 / 239;
    I;16 941 / 45;
    P;5 956 / 130;
    B;1 885 / 412;
bit allocation;
  max;961 200;
  avg;762 720;
  min;629 520;
qp;
  qp min;2;
  qp avg;24.27;
  qp max;36;
distribution (bits);
    total;25 945 (100.00%);
    mb_skip;780 (3.01%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 514 (9.69%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;327 (1.26%);
    pred_mode;834 (3.22%);
    inter_prediction;7 158 (27.59%);
transform;
    coded_block_pattern;2 349 (9.05%);
    transform_size_8x8_flag;67 (0.26%);
    mb_qp_delta;1 573 (6.06%);
    transform;8 899 (34.30%);
    pcm_data;0 (0.00%);
