stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;45342;24;;;;;38.301375;;362 736;0;0;2 106;0;;17 948;37 134;0;;0;1 390;6 421;285 811;0;
1;1;0x0000000I64X;2;P;00:00:00:033;327;22;;;;;44.125110;;2 616;494;0;159;0;;0;7;904;;202;0;215;290;0;
2;4;0x0000000I64X;8;P;00:00:00:133;4243;25;;;;;36.039029;;33 944;843;0;2 214;0;;107;212;11 402;;3 559;21;3 023;11 219;0;
3;2;0x0000000I64X;4;B;00:00:00:066;1056;28;;;;;39.697532;;8 448;851;0;1 374;0;;8;17;4 157;;403;11;174;330;0;
4;3;0x0000000I64X;6;B;00:00:00:100;879;30;;;;;36.353216;;7 032;1 035;0;1 188;0;;0;1;3 392;;243;6;49;147;0;
5;6;0x0000000I64X;12;P;00:00:00:200;10940;26;;;;;36.238899;;87 520;492;0;3 418;0;;2 089;4 875;14 527;;5 081;238;5 064;49 288;0;
6;5;0x0000000I64X;10;B;00:00:00:166;1627;28;;;;;37.461412;;13 016;661;0;2 737;0;;4;7;6 872;;655;32;262;797;0;
7;8;0x0000000I64X;16;P;00:00:00:266;8932;26;;;;;36.686539;;71 456;486;0;3 670;0;;930;2 033;15 484;;5 490;126;5 026;36 330;0;
8;7;0x0000000I64X;14;B;00:00:00:233;1686;28;;;;;37.796098;;13 488;719;0;2 606;0;;9;17;6 756;;886;37;430;971;0;
9;10;0x0000000I64X;20;P;00:00:00:333;13073;26;;;;;36.904436;;104 584;299;0;4 244;0;;2 805;7 256;15 068;;5 410;369;5 970;60 128;0;
10;9;0x0000000I64X;18;B;00:00:00:300;2550;28;;;;;37.706864;;20 400;431;0;4 242;0;;28;27;10 368;;1 497;83;732;2 176;0;
11;12;0x0000000I64X;24;P;00:00:00:400;12408;26;;;;;37.085841;;99 264;280;0;4 130;0;;2 744;6 957;15 905;;5 539;367;5 783;54 495;0;
12;11;0x0000000I64X;22;B;00:00:00:366;2727;28;;;;;38.233668;;21 816;384;0;4 169;0;;51;72;11 357;;1 665;78;797;2 451;0;
13;14;0x0000000I64X;28;P;00:00:00:466;11073;26;;;;;36.466941;;88 584;286;0;4 162;0;;2 076;5 258;16 342;;5 503;279;5 077;46 827;0;
14;13;0x0000000I64X;26;B;00:00:00:433;2565;29;;;;;38.582393;;20 520;717;0;3 152;0;;98;208;8 933;;1 646;94;790;3 661;0;
15;15;0x0000000I64X;30;P;00:00:00:500;8622;26;;;;;39.283074;;68 976;408;0;3 586;0;;490;1 720;16 522;;6 267;86;4 923;33 325;0;
