name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:17:480;
epsnr;39.16;
frames;
  count;437;
    I;1 (0.22%);
    P;222 (50.80%);
    B;214 (48.97%);
  size (byte) / encode ratio (avg);8437 / 92;
    I;36 948 / 21;
    P;12 258 / 63;
    B;4 339 / 179;
bit allocation;
  max;2 035 800;
  avg;1 679 800;
  min;1 562 200;
qp;
  qp min;16;
  qp avg;24.27;
  qp max;44;
distribution (bits);
    total;67 496 (100.00%);
    mb_skip;382 (0.57%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 272 (6.33%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 791 (2.65%);
    pred_mode;3 120 (4.62%);
    inter_prediction;10 757 (15.94%);
transform;
    coded_block_pattern;6 134 (9.09%);
    transform_size_8x8_flag;605 (0.90%);
    mb_qp_delta;4 998 (7.41%);
    transform;33 539 (49.69%);
    pcm_data;0 (0.00%);
