stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
38;37;0x0000000I64X;74;B;00:00:01:233;1748;24;;;;;40.099707;;13 984;977;0;1 848;0;;49;78;4 854;;1 460;47;648;2 883;0;
39;42;0x0000000I64X;84;P;00:00:01:400;4763;23;;;;;41.857649;;38 104;592;0;2 754;0;;228;685;10 604;;4 878;28;2 527;14 324;0;
40;40;0x0000000I64X;80;B;00:00:01:333;2031;24;;;;;41.367360;;16 248;976;0;1 684;0;;19;35;4 610;;2 210;59;983;4 485;0;
41;39;0x0000000I64X;78;B;00:00:01:300;1307;24;;;;;42.808903;;10 456;1 017;0;1 144;0;;0;8;3 668;;1 126;31;325;2 088;0;
42;41;0x0000000I64X;82;B;00:00:01:366;1400;24;;;;;42.396666;;11 200;964;0;1 279;0;;10;9;3 156;;1 812;44;297;2 498;0;
43;46;0x0000000I64X;92;P;00:00:01:533;4576;23;;;;;40.555531;;36 608;574;0;2 656;0;;197;643;12 226;;4 565;21;2 679;11 579;0;
44;44;0x0000000I64X;88;B;00:00:01:466;2007;23;;;;;43.060888;;16 056;960;0;1 898;0;;35;59;5 233;;1 856;65;890;3 812;0;
45;43;0x0000000I64X;86;B;00:00:01:433;1449;25;;;;;42.823478;;11 592;968;0;1 280;0;;0;2;4 249;;1 584;54;193;2 193;0;
46;45;0x0000000I64X;90;B;00:00:01:500;1445;25;;;;;40.263375;;11 560;952;0;1 316;0;;10;9;3 906;;1 628;36;341;2 265;0;
47;50;0x0000000I64X;100;P;00:00:01:666;5514;23;;;;;41.795797;;44 112;432;0;3 977;0;;924;2 263;12 543;;3 539;83;2 911;15 321;0;
48;48;0x0000000I64X;96;B;00:00:01:600;2270;23;;;;;42.347344;;18 160;925;0;2 145;0;;50;101;6 462;;1 923;65;1 085;4 130;0;
49;47;0x0000000I64X;94;B;00:00:01:566;1583;23;;;;;42.285511;;12 664;960;0;1 545;0;;14;34;4 433;;1 549;48;514;2 437;0;
50;49;0x0000000I64X;98;B;00:00:01:633;1493;24;;;;;42.787244;;11 944;1 017;0;1 698;0;;33;43;4 071;;1 289;39;497;2 147;0;
51;54;0x0000000I64X;108;P;00:00:01:800;5706;24;;;;;40.857081;;45 648;398;0;4 240;0;;1 228;3 261;11 540;;3 235;111;2 884;16 399;0;
52;52;0x0000000I64X;104;B;00:00:01:733;2446;23;;;;;41.980964;;19 568;950;0;2 532;0;;80;136;6 401;;2 004;64;1 383;4 754;0;
53;51;0x0000000I64X;102;B;00:00:01:700;1648;25;;;;;41.596034;;13 184;996;0;1 765;0;;55;90;4 359;;1 411;56;612;2 734;0;
54;53;0x0000000I64X;106;B;00:00:01:766;1550;24;;;;;40.060114;;12 400;1 000;0;1 674;0;;23;57;3 984;;1 436;43;449;2 646;0;
55;56;0x0000000I64X;112;P;00:00:01:866;5051;23;;;;;41.103760;;40 408;445;0;3 782;0;;727;1 788;12 088;;3 288;79;2 651;13 910;0;
56;55;0x0000000I64X;110;B;00:00:01:833;1654;24;;;;;42.099495;;13 232;965;0;1 774;0;;20;70;4 306;;1 397;48;712;2 868;0;
57;58;0x0000000I64X;116;P;00:00:01:933;4719;24;;;;;42.464156;;37 752;513;0;3 406;0;;893;2 069;11 205;;3 071;86;2 365;12 108;0;
